Algorytm Best First Search; 8 miast; Długość ścieżki: 223; Czas: 0.2663 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 223; Czas: 0.3207 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 223; Czas: 0.3334 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 223; Czas: 0.3426 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 167; Czas: 0.5149 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 167; Czas: 0.4593 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 167; Czas: 0.72 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 167; Czas: 0.4356 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 167; Czas: 0.4659 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 167; Czas: 0.3898 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 171; Czas: 0.7301 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 171; Czas: 0.8965 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 171; Czas: 0.7094 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 171; Czas: 0.8597 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 171; Czas: 0.7803 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 171; Czas: 0.8013 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 171; Czas: 0.9108 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 131; Czas: 0.2043 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 131; Czas: 0.5314 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 131; Czas: 0.516 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 131; Czas: 0.6721 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 175; Czas: 0.9982 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 175; Czas: 0.8672 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 226; Czas: 0.7887 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 226; Czas: 0.9474 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 118; Czas: 0.0636 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 118; Czas: 0.0488 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 212; Czas: 0.8864 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 212; Czas: 0.6273 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 212; Czas: 0.872 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 170; Czas: 1.8245 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 170; Czas: 1.2168 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 121; Czas: 0.3506 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 121; Czas: 0.1617 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 159; Czas: 0.4173 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 159; Czas: 0.5074 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 148; Czas: 0.1679 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 148; Czas: 0.1623 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 80; Czas: 0.2459 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 118; Czas: 0.1392 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 176; Czas: 0.1016 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 103; Czas: 0.1513 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 118; Czas: 0.2026 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 194; Czas: 0.2685 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 146; Czas: 0.3908 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 108; Czas: 0.384 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 230; Czas: 0.8394 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 158; Czas: 0.6506 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 143; Czas: 0.2855 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 136; Czas: 0.7695 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 136; Czas: 0.2217 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 117; Czas: 0.1962 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 168; Czas: 0.6792 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 245; Czas: 0.9447 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 132; Czas: 0.0996 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 109; Czas: 0.2914 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 215; Czas: 1.0436 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 155; Czas: 0.1696 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 143; Czas: 1.0168 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 181; Czas: 0.4545 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 161; Czas: 0.7596 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 168; Czas: 0.6722 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 159; Czas: 0.3285 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 161; Czas: 0.4281 ms
