Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0077 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0281 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0108 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0072 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.008 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0194 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0108 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0075 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0098 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0073 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.011 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.009 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0088 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0073 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0202 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0117 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0075 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0101 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0084 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 283; Czas: 0.1384 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 283; Czas: 0.087 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 283; Czas: 0.0877 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 283; Czas: 0.0585 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 283; Czas: 0.0498 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 283; Czas: 0.0484 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 283; Czas: 0.0413 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 283; Czas: 0.0425 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 283; Czas: 0.0192 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 283; Czas: 0.0367 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0264 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0237 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0286 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0497 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0617 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0377 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0198 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0404 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0242 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.028 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.026 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0527 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0364 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0357 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0534 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0367 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0231 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.019 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0434 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0524 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.03 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0265 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0436 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.067 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0346 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0381 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0884 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.1353 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0202 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0401 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0538 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0364 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0319 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0484 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0214 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0357 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0341 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0358 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0198 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0194 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0325 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0434 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0218 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0358 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0335 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.056 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0424 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0337 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0273 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0341 ms
Algorytm Best First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0248 ms
