Algorytm Breath First Search; 8 miast; Długość ścieżki: 187; Czas: 410.926 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 157; Czas: 433.126 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 218; Czas: 434.938 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 136; Czas: 485.581 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 113; Czas: 427.437 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 185; Czas: 415.498 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 213; Czas: 422.404 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 137; Czas: 442.993 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 132; Czas: 423.743 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 141; Czas: 395.066 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 181; Czas: 445.027 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 168; Czas: 475.73 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 198; Czas: 448.837 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 213; Czas: 469.31 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 183; Czas: 473.497 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 209; Czas: 485.617 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 165; Czas: 469.66 ms
Algorytm Breath First Search; 7 miast; Długość ścieżki: 149; Czas: 5.7109 ms
Algorytm Breath First Search; 7 miast; Długość ścieżki: 172; Czas: 5.3134 ms
