Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0373 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0362 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0379 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0633 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0252 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0383 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0286 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0256 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0412 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0308 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0332 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0429 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.8973 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0335 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0422 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.042 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0384 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0612 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0244 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0259 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0338 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0235 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0375 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.038 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0363 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0346 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0431 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0406 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0385 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0413 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.038 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0572 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0311 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0318 ms
Algorytm Depth First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0395 ms
