Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0168 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0089 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0121 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0239 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0371 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0144 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0141 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0173 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.012 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0157 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0149 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0207 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0241 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0109 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 283; Czas: 0.185 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 283; Czas: 0.1287 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 283; Czas: 0.0998 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 283; Czas: 0.087 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 283; Czas: 0.088 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 283; Czas: 0.0757 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 283; Czas: 0.1694 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 283; Czas: 0.0714 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 283; Czas: 0.0622 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0698 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.2173 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0928 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0549 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0739 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0474 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0628 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0975 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0629 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0605 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0483 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0863 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0422 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0588 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.061 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0748 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0952 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0446 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0398 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0566 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0378 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0411 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.04 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0526 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.06 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0664 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0465 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0923 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0808 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0387 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0725 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0628 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0411 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0394 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0377 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0365 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0394 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0648 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0629 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0575 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0567 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0769 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0419 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0567 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0554 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0619 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0656 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0688 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.1352 ms
Algorytm Breath First Search (SYMETRYCZNA); 5 miast; Długość ścieżki: 190; Czas: 0.0416 ms
